Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
Gulf Air;Airbus A321ER (321);31-32;18;On-Demand TV;None;None;No;Standard
Hainan Airlines;Airbus A330-300 (333);31-32;19;On-Demand TV;None;None;No;Standard
Hainan Airlines;Boeing 787-8 (788);31-32;17.0;On-Demand TV;All Seats;AC Power;No;Standard
Hainan Airlines;Airbus A330-200 (332);32-33;19;On-Demand TV;None;None;No;Standard
Hainan Airlines;Boeing 787-9 (789);31-32;17;On-Demand TV;All Seats;AC Power;No;Standard
Hainan Airlines;Boeing 767-300ER (767);31-32;17;On-Demand TV;None;None;No;Standard
Hawaiian Airlines;Airbus A321neo (321);31-32;17.3;Portable Device;None;None;No;Standard
Hawaiian Airlines;Airbus A330-200 (332) V1;36;18;On-Demand TV;All Seats;AC Power;No;Standard
Hawaiian Airlines;Airbus A330-200 (332) V2;31;16.5 - 18;On-Demand TV;None;None;No;Standard
Hawaiian Airlines;Airbus A330-200 (332) V2;36;18;On-Demand TV;Some Seats;AC Power;No;Standard
Hawaiian Airlines;Boeing 767-300ER (763) V1;32;18;Overhead TV;None;None;No;Standard
Hawaiian Airlines;Boeing 767-300ER (763) V2;32;18;Overhead TV;None;None;No;Standard
Hawaiian Airlines;Airbus A321neo (321);36-37;17.3;Portable Device;All Seats;AC Power;No;Standard
Hawaiian Airlines;Airbus A330-200 (332) V1;31-32;16.5 - 18;On-Demand TV;None;None;No;Standard
Hong Kong Airlines;Airbus A330-300 (33S) V1;31-34;18;Seatback TV;All Seats;AC Power;No;Standard
Hong Kong Airlines;Airbus A350-900 (359);34;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Hong Kong Airlines;Airbus A350-900 (359);31-34;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Hong Kong Airlines;Airbus A330-300 (333) V2;31-34;18;Seatback TV;None;None;No;Standard
Iberia;LEVEL - Airbus A330-200 (332);30-34;18;Seatback TV;All Seats;AC Power;Yes;Standard
Iberia;Airbus A330-200 (332);31;18.1;Seatback TV;All Seats;AC Power;Yes;Standard
Iberia;Airbus A330-300 (333) V2;31;18.1;Seatback TV;All Seats;AC Power;Yes;Standard
